CVE_AGEB,POBTOT,POB0_14_P,P15A29A_P,P30A59A_P,GRAPROES,P_CD_P,VPH_C_EL_P,VPH_EXSA_P,VPH_DREN_P,RECUCALL_C,RAMPAS_C,PASOPEAT_C,BANQUETA_C,CICLOVIA_C,CICLOCAR_C,ALUMPUB_C,SEMAAUDI_C,PARATRAN_C,DRENAJEP_C,TRANSCOL_C,ARBOLES_C,ACESOAUT_C,PUESSEMI_C,PUESAMBU_C,agua,electricidad,escuela,refugios,salud
0273,74,6.349230769230768,7.081538461538462,13.98076923076923,3.403076923076923,3.540769230769231,30.76923076923077,29.486923076923077,30.76923076923077,2.5384615384615383,3.0,2.923076923076923,2.6153846153846154,3.0,3.0,2.6153846153846154,3.0,3.0,3.0,2.923076923076923,2.3846153846153846,3.0,3.0,3.0,,,,,
0318,1925,11.397551020408164,17.568979591836733,31.385102040816324,10.333877551020409,7.33,85.30387755102042,85.47387755102041,85.47387755102041,1.0612244897959184,2.4693877551020407,1.4489795918367347,1.0816326530612246,2.7551020408163267,3.0,2.0408163265306123,2.9591836734693877,2.9183673469387754,2.6122448979591835,2.3469387755102042,1.653061224489796,2.938775510204082,2.979591836734694,2.9183673469387754,0,0,6.0,0,16.0
0322,2143,11.647735849056605,17.747169811320756,30.118113207547168,11.44245283018868,7.085471698113207,88.48603773584907,88.55339622641509,88.55339622641509,1.0,2.358490566037736,2.6226415094339623,1.0377358490566038,2.9056603773584904,3.0,1.8679245283018868,2.9622641509433962,2.9245283018867925,2.830188679245283,2.7169811320754715,1.320754716981132,3.0,2.9245283018867925,2.849056603773585,0,0,5.0,0,14.0
0362,2342,18.422285714285714,21.292,33.82,9.617714285714285,5.1008571428571425,91.14571428571428,91.38085714285714,91.38085714285714,1.0285714285714285,1.8285714285714285,1.8571428571428572,1.0857142857142856,3.0,2.9714285714285715,1.2857142857142858,3.0,2.942857142857143,2.914285714285714,2.7714285714285714,1.2857142857142858,3.0,2.914285714285714,2.914285714285714,,,,,
0411,1116,9.866052631578947,17.035,33.16710526315789,11.912894736842105,4.348947368421053,81.57894736842105,81.57894736842105,81.57894736842105,1.0,2.6315789473684212,2.763157894736842,1.2894736842105263,2.973684210526316,2.973684210526316,2.1842105263157894,3.0,2.973684210526316,2.9473684210526314,2.8684210526315788,1.736842105263158,1.236842105263158,2.973684210526316,2.9210526315789473,1.0,0,7.0,0,1.0
0676,2119,18.9541935483871,19.591290322580647,33.00677419354839,10.056129032258065,6.97,96.26193548387097,96.52612903225807,96.7741935483871,1.032258064516129,2.4516129032258065,2.6774193548387095,1.2903225806451613,3.0,3.0,1.7419354838709677,3.0,2.935483870967742,2.7096774193548385,2.806451612903226,1.4516129032258065,3.0,2.838709677419355,2.935483870967742,0,0,7.0,0,1.0
0680,1467,10.623214285714285,20.5275,35.2425,12.790000000000001,5.2335714285714285,97.93714285714285,97.93714285714285,97.93714285714285,1.0357142857142858,1.7857142857142858,1.8928571428571428,1.0357142857142858,3.0,3.0,1.8571428571428572,3.0,2.892857142857143,2.9285714285714284,2.392857142857143,1.4642857142857142,3.0,3.0,2.857142857142857,0,0,10.0,1.0,4.0
0708,1086,9.315185185185184,16.823333333333334,28.515185185185185,11.042592592592591,7.905555555555555,80.89962962962963,80.89962962962963,80.89962962962963,1.0,1.4444444444444444,1.8518518518518519,1.1481481481481481,3.0,3.0,1.9259259259259258,2.925925925925926,2.8518518518518516,2.185185185185185,2.6666666666666665,1.5555555555555556,3.0,2.925925925925926,2.888888888888889,0,0,9.0,0,22.0
0712,2482,12.11735294117647,21.36558823529412,35.53411764705883,10.973823529411765,9.954411764705881,93.87205882352941,93.87205882352941,93.98970588235295,1.0,1.4411764705882353,1.588235294117647,1.088235294117647,2.9411764705882355,3.0,1.9705882352941178,3.0,2.9411764705882355,2.0,2.5294117647058822,1.7058823529411764,3.0,3.0,2.911764705882353,0,1.0,8.0,0,13.0
0727,4375,15.677234042553192,19.97212765957447,37.44127659574468,10.088085106382978,10.405106382978724,95.26042553191489,95.6027659574468,95.6027659574468,1.0212765957446808,1.9787234042553192,2.595744680851064,1.2127659574468086,3.0,3.0,1.9787234042553192,2.978723404255319,2.851063829787234,2.872340425531915,2.4680851063829787,1.425531914893617,2.9148936170212765,2.9361702127659575,2.872340425531915,0,0,4.0,0,4.0
0731,2350,13.676976744186048,19.81139534883721,31.405348837209303,10.536046511627907,7.507209302325581,88.05488372093023,87.95372093023256,87.95372093023256,1.0465116279069768,1.9069767441860466,2.7674418604651163,1.3255813953488371,3.0,3.0,1.8837209302325582,2.9302325581395348,2.9302325581395348,2.697674418604651,2.813953488372093,1.3953488372093024,3.0,2.9302325581395348,2.9302325581395348,0,0,4.0,0,2.0
0746,942,5.978372093023256,14.79720930232558,29.127209302325582,9.61279069767442,7.1937209302325575,73.99116279069767,74.12790697674419,74.12790697674419,1.0,1.372093023255814,1.1162790697674418,1.0232558139534884,2.953488372093023,3.0,1.930232558139535,2.7209302325581395,2.9302325581395348,2.7906976744186047,2.627906976744186,2.186046511627907,2.9767441860465116,2.8372093023255816,2.5813953488372094,1.0,0,11.0,0,25.0
0750,2217,12.719285714285714,19.87047619047619,37.6302380952381,11.228809523809524,6.1257142857142854,97.30666666666667,96.66952380952381,96.75166666666667,1.0238095238095237,1.8571428571428572,1.4047619047619047,1.1666666666666667,2.9761904761904763,2.880952380952381,2.0,2.9047619047619047,2.8333333333333335,2.6666666666666665,2.4047619047619047,2.1666666666666665,2.9523809523809526,2.9047619047619047,2.8333333333333335,0,1.0,6.0,0,13.0
077A,2103,11.197209302325582,18.112558139534883,34.33279069767442,9.795581395348837,6.223255813953489,87.39697674418605,87.63837209302325,88.03976744186046,1.0930232558139534,1.6046511627906976,1.8837209302325582,1.186046511627907,2.7674418604651163,3.0,2.0,2.953488372093023,2.8372093023255816,2.627906976744186,2.4186046511627906,2.0,2.9767441860465116,2.953488372093023,2.86046511627907,0,0,9.0,0,35.0
