CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,_count,_sum,_mean,class,time
0600200011640,06,002,0001,1640,0.0,0.0,,Depth,0
0600200011617,06,002,0001,1617,0.0,0.0,,Depth,0
0600200011621,06,002,0001,1621,0.0,0.0,,Depth,0
0600200010676,06,002,0001,0676,0.0,0.0,,Depth,0
0600200010727,06,002,0001,0727,0.0,0.0,,Depth,0
0600200011142,06,002,0001,1142,0.0,0.0,,Depth,0
0600200010411,06,002,0001,0411,0.0,0.0,,Depth,0
0600200011481,06,002,0001,1481,0.0,0.0,,Depth,0
0600200011068,06,002,0001,1068,0.0,0.0,,Depth,0
0600200010708,06,002,0001,0708,0.0,0.0,,Depth,0
0600200011458,06,002,0001,1458,0.0,0.0,,Depth,0
0600200010318,06,002,0001,0318,0.0,0.0,,Depth,0
0600200010680,06,002,0001,0680,0.0,0.0,,Depth,0
0600200010712,06,002,0001,0712,0.0,0.0,,Depth,0
0600200010746,06,002,0001,0746,0.0,0.0,,Depth,0
0600200010750,06,002,0001,0750,0.0,0.0,,Depth,0
0600200010765,06,002,0001,0765,0.0,0.0,,Depth,0
0600200010816,06,002,0001,0816,0.0,0.0,,Depth,0
0600200011123,06,002,0001,1123,0.0,0.0,,Depth,0
0600200011227,06,002,0001,1227,0.0,0.0,,Depth,0
0600200011265,06,002,0001,1265,0.0,0.0,,Depth,0
060020001127A,06,002,0001,127A,0.0,0.0,,Depth,0
0600200010801,06,002,0001,0801,0.0,0.0,,Depth,0
0600200010835,06,002,0001,0835,0.0,0.0,,Depth,0
0600200010924,06,002,0001,0924,0.0,0.0,,Depth,0
0600200011439,06,002,0001,1439,0.0,0.0,,Depth,0
0600200011462,06,002,0001,1462,0.0,0.0,,Depth,0
0600200010322,06,002,0001,0322,0.0,0.0,,Depth,0
060020001077A,06,002,0001,077A,0.0,0.0,,Depth,0
0600200010981,06,002,0001,0981,0.0,0.0,,Depth,0
0600200011513,06,002,0001,1513,0.0,0.0,,Depth,0
0600200011528,06,002,0001,1528,0.0,0.0,,Depth,0
0600200011301,06,002,0001,1301,0.0,0.0,,Depth,0
0600200011053,06,002,0001,1053,0.0,0.0,,Depth,0
0600200011072,06,002,0001,1072,0.0,0.0,,Depth,0
0600200010731,06,002,0001,0731,0.0,0.0,,Depth,0
060020001166A,06,002,0001,166A,0.0,0.0,,Depth,0
0600200011710,06,002,0001,1710,0.0,0.0,,Depth,0
060020001006A,06,002,0001,006A,0.0,0.0,,Depth,0
0600200010074,06,002,0001,0074,0.0,0.0,,Depth,0
0600200011655,06,002,0001,1655,0.0,0.0,,Depth,0
0600200011636,06,002,0001,1636,0.0,0.0,,Depth,0
0601000010362,06,010,0001,0362,0.0,0.0,,Depth,0
0600200011640,06,002,0001,1640,581.0,200.83950602,0.34567901208261614,Depth,10200
0600200011617,06,002,0001,1617,2745.0,2470.2395521599947,0.8999051191839689,Depth,10200
